;food1;food2;amount
14857;beer battered onion rings;lima beans and pork chops;0.316462
14858;dashi;beer battered onion rings;0.316482
14859;creme brulee pie;beer battered onion rings;0.316497
14860;hanoi turmeric grilled fish with dill and onion;brie and asparagus in phyllo;0.316507
14861;pan-roasted beef filet in coffee and molasses shellac;moroccan chicken stew;0.316515
14862;pacific cider;quick chicken fajitas;0.316521
14863;savory goat cheese and tomato bread pudding;rajma masaledar;0.316526
14864;south african instant milk tart;beer battered onion rings;0.316536
14865;shrimp cognac and baked cheese grits;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;0.31655
14866;ricotta gnudi with wild mushroom and truffle sauce;chicken and bacon florentine;0.316559
14867;caramelized flan from pinhao;chicken wings with black-bean sauce;0.316572
14868;ployes;cajun prime rib roast;0.316586
14869;candied root vegetables;meatballs with angel hair pasta;0.316595
14870;finikia;insalata di fagioli e tonno: tuna and bean salad;0.316625
14871;chile chicken with jasmine rice;beer battered onion rings;0.316635
14872;dark brown bbq ribs;creamy parmesan polenta;0.316641
14873;finikia;old-fashioned italian zucchini fritters;0.31665
14874;candied root vegetables;chinese braised spare ribs;0.316691
14875;korean chicken wings;mutter dhingri;0.316692
14876;broiled steak with horseradish cream;sesame encrusted seared tuna;0.316702
14877;chana ghassi;stilton walnut tarts;0.316705
14878;16-minute greek feast to go;bavarian style meatballs;0.316734
14879;lilva rice;ployes;0.316756
14880;north carolina-style bbq pulled-pork sandwiches;16-minute greek feast to go;0.316787
14881;vine-ripened tomatoes drizzled with balsamic vinegar;bacon-wilted greens with warm pecan-crusted goat cheese;0.3168
14882;moroccan chicken stew;baby tomato and fresh herb tabbouleh;0.316838
14883;bacon-wilted greens with warm pecan-crusted goat cheese;austin, texas barbecue paste;0.316844
14884;chinese spareribs with teriyaki glaze;ricotta gnudi with wild mushroom and truffle sauce;0.316877
14885;tomatillo sauce;smashed peas and ricotta cheese;0.316909
14886;finikia;jaripalla churma;0.316919
14887;creamy parmesan polenta;Sorvete Chambinho Nestlé Pote 1l;0.316939
14888;grilled mangoes with herbs;passover chocolate walnut cookies;0.316959
14889;finikia;cramer family stuffed crawfish bread;0.316962
14890;sauteed corn and green peppers;turkey shawarma with crunchy vegetables;0.316975
14891;freak n good ribs;orechiette with sausage, beans, and mascarpone;0.316983
14892;lotus rice with sausage;bacon-wilted greens with warm pecan-crusted goat cheese;0.317014
14893;teeny-weeny coxinha;ricotta gnudi with wild mushroom and truffle sauce;0.317021
14894;brisket braised in porter;rajma masaledar;0.317046
14895;punch ice block;geoduck papaya ceviche;0.317057
14896;moroccan chicken stew;teeny-weeny coxinha;0.317101
14897;beer battered onion rings;reina pepiada arepas;0.317113
14898;saltado de vainitas (peruvian green beans with chicken);coconut milk and rose custard;0.31712
14899;finikia;french fries with gravy and cheese;0.317122
14900;warm thanksgiving salad of clams, mussels, and mushrooms;16-minute greek feast to go;0.317125
14901;rum caramel cake;fall figs stuffed with stilton cheese, wrapped in prosciutto and chateau elan port wine syrup;0.317155
14902;batman s best caesar dressing;beer battered onion rings;0.317173
14903;moong soup;smashed peas and ricotta cheese;0.317188
14904;shrimp cognac and baked cheese grits;cheesy italian bread wedges;0.317194
14905;strawberry mint seduction;chicken wings with black-bean sauce;0.317198
14906;16-minute greek feast to go;mooli dhania parathas;0.317226
14907;la mariana surf and turf combo;turkey shawarma with crunchy vegetables;0.317231
14908;chicken gumbo soup;broiled steak with horseradish cream;0.317265
14909;café iguana margarita;rum caramel cake;0.317281
14910;stuffed young zucchini;beer battered onion rings;0.317298
14911;campechana extra (mexican seafood cocktail);sue s killer martini;0.317309
14912;finikia;tomato onion flatbread pizza;0.317319
14913;turkey shawarma with crunchy vegetables;coconut crusted voodoo shrimp;0.317321
14914;turkey shawarma with crunchy vegetables;mike s 3-bean chili;0.317329
14915;beer battered onion rings;lamb shank braised in white wine with rosemary;0.317339
14916;spicy sausage linguine;grilled portobello mushrooms;0.317342
14917;spicy sausage linguine;chocolate chip pie iv;0.317371
14918;teriyaki chicken wings;miss dixie s remoulade;0.317385
14919;finikia;nectarine-raspberry crisp with spiced-oatmeal crumb topping;0.31741
14920;rum caramel cake;salsa borracha (drunk salsa);0.317415
14921;papaya poached in cinnamon-lime syrup;feta-and-cauliflower frittata;0.317426
14922;turkey shawarma with crunchy vegetables;shrimp stirfry;0.317498
14923;hanoi turmeric grilled fish with dill and onion;tomato butter dill sauce;0.317504
14924;baccelli e pecorino: fava beans and pecorino;marbleized brownies;0.317512
14925;pacific cider;marbleized brownies;0.317577
14926;warm thanksgiving salad of clams, mussels, and mushrooms;hanoi turmeric grilled fish with dill and onion;0.317577
14927;spicy sausage linguine;ginger pumpkin tart;0.317599
14928;mini italian mud pies;bacon-wilted greens with warm pecan-crusted goat cheese;0.317615
14929;papaya poached in cinnamon-lime syrup;delicious spinach manicotti;0.317625
14930;turkey shawarma with crunchy vegetables;mixed-nut honey baklava;0.317626
14931;hanoi turmeric grilled fish with dill and onion;amazin  gazpacho;0.317626
14932;punch ice block;marbleized brownies;0.317678
14933;puerto rican cabbage, avocado, and carrot salad;chicken wings with black-bean sauce;0.317689
14934;freak n good ribs;classic bhavnagari chillies;0.3177
14935;avocado mayonnaise;beer battered onion rings;0.317755
14936;hanoi turmeric grilled fish with dill and onion;easy tacos;0.317769
14937;makai patal bhaji;chicken wings with black-bean sauce;0.317798
14938;sesame encrusted seared tuna;ployes;0.317806
14939;hanoi turmeric grilled fish with dill and onion;spicy mexican shrimp cocktail;0.317815
14940;shiitake japanese style;rajma masaledar;0.317826
14941;pork chops scarpariello;16-minute greek feast to go;0.317832
14942;fish;16-minute greek feast to go;0.317842
14943;asparagus soup with lemon crème fraîche;beer battered onion rings;0.317845
14944;spicy drunken shrimp;beer battered onion rings;0.317859
14945;baba ghanouj;16-minute greek feast to go;0.31786
14946;emeril s crab cakes;beer battered onion rings;0.317923
14947;smashed peas and ricotta cheese;cajun prime rib roast;0.317959
14948;baccelli e pecorino: fava beans and pecorino;chocolate filled crepes covered with strawberry sauce;0.318081
14949;le choucroute du baron;turkey shawarma with crunchy vegetables;0.318126
14950;thai-style crab salad in papaya;16-minute greek feast to go;0.318148
14951;south african instant milk tart;spicy sausage linguine;0.318149
14952;baked pears with sauternes custard sauce;16-minute greek feast to go;0.31815
14953;blueberry-pecan galette;beer battered onion rings;0.318153
14954;italian vegetable lentil soup;bouillabaise;0.318154
14955;creamy potato salad;bacon-wilted greens with warm pecan-crusted goat cheese;0.318199
14956;freak n good ribs;helva;0.318206
14957;freak n good ribs;hilda s favas;0.318228
14958;new york steaks with a vanilla and cherry sauce;papaya poached in cinnamon-lime syrup;0.318229
14959;turkey shawarma with crunchy vegetables;almond burfi;0.318259
14960;finikia;winner s circle lasagna;0.318264
14961;roasted pumpkin soup;mom sykes  hungarian goulash;0.31831
14962;chicken in mole, puebla style;finikia;0.318318
14963;zucchini slice;freak n good ribs;0.318348
14964;rajma masaledar;winner s circle lasagna;0.318359
14965;braised duckling in mole poblano;rajma masaledar;0.318368
14966;ployes;harvest foccacia;0.318372
14967;freak n good ribs;gingerbread boys;0.318392
14968;bacon-wilted greens with warm pecan-crusted goat cheese;cannelloni or stuffed shells with veal and sweet sausage;0.318423
14969;vanilla-bean cheesecake with guava topping and mango-lime salad;rajma masaledar;0.318433
14970;tiny potato gnocchi with smoked salmon, scamorza, tomatoes, and basil;finikia;0.318465
14971;hanoi turmeric grilled fish with dill and onion;slow lamb with baked provencal tomatoes;0.318497
14972;spinach almond pesto;turkey shawarma with crunchy vegetables;0.318513
14973;rajma masaledar;panna cotta with balsamic strawberries;0.31862
14974;16-minute greek feast to go;raspberry linzer cookies;0.318628
14975;finikia;beef liver bourguignonne;0.318637
14976;finikia;chicken rollatina;0.318652
14977;fried rice;rajma masaledar;0.318661
14978;la mariana surf and turf combo;rajma masaledar;0.318664
14979;crostini with white beans and basil-marinated shrimp;Sorvete Chambinho Nestlé Pote 1l;0.318687
14980;herbed fillet with red wine reduction;bacon-wilted greens with warm pecan-crusted goat cheese;0.318747
14981;finikia;philly steak and cheese sliders;0.318772
14982;freak n good ribs;ciabatta stuffing with chestnuts, mushrooms and pancetta;0.318778
14983;stuffed khandvi;bouillabaise;0.318799
14984;microwave ham;chicken wings with black-bean sauce;0.318824
14985;freak n good ribs;chicken athena;0.318843
14986;chocolate lebkuchen;rajma masaledar;0.318856
14987;loaded omelets;ployes;0.318868
14988;pacific cider;sue s killer martini;0.318873
14989;avocado pie;rajma masaledar;0.318885
14990;hanoi turmeric grilled fish with dill and onion;inwood hamburgers;0.318891
14991;how to make country gravy;16-minute greek feast to go;0.318959
14992;freak n good ribs;minty greek salad;0.318966
14993;spicy sausage linguine;salmon fillets with creamy dill;0.319011
14994;freak n good ribs;chicken adobo ii;0.319012
14995;freak n good ribs;lentils with lemon;0.319035
14996;pasta piselli;beer battered onion rings;0.319047
14997;roasted pumpkin soup;french onion soup with homemade beef stock;0.319068
14998;rum caramel cake;jalapeno cheddar cornbread;0.319073
14999;saltado de vainitas (peruvian green beans with chicken);becky s slow cooker gluten-free thai chicken curry;0.319075
15000;lilva rice;southwest cheese grits;0.319075
15001;Sorvete Chambinho Nestlé Pote 1l;passover chocolate walnut cookies;0.319076
15002;crostini with white beans and basil-marinated shrimp;cheesy italian pull apart bread;0.319085
15003;ricotta gnudi with wild mushroom and truffle sauce;colorado lamb and couscous crostini;0.319094
15004;rajma masaledar;scallop phyllo pizza with pinot noir sauce;0.319098
15005;hare mutter ki curry mein aloo;finikia;0.319104
15006;ployes;cheesy italian pull apart bread;0.319133
15007;16-minute greek feast to go;zucchini pasta bake;0.319137
15008;chicken wings with black-bean sauce;tennessee stack cake;0.319155
15009;freak n good ribs;yellow pickled eggs;0.319176
15010;beer battered onion rings;exotic mushroom chilequiles;0.319178
15011;turkey shawarma with crunchy vegetables;romano risotto with radishes;0.319183
15012;chicken wings with black-bean sauce;pork belly with lentils;0.319208
15013;finikia;buttermilk cornbread with monterey jack cheese;0.319225
15014;16-minute greek feast to go;shellfish watermelon ceviche;0.319252
15015;chicken gumbo soup;laura s maryland crab cakes;0.319269
15016;campechana extra (mexican seafood cocktail);quick chicken fajitas;0.319281
15017;16-minute greek feast to go;classic bhavnagari chillies;0.319318
15018;hanoi turmeric grilled fish with dill and onion;bone-in cowboy rib-eye with pinto-wild mushroom ragout and red chile onion rings;0.319328
15019;sharkie s green sauce;beer battered onion rings;0.319357
15020;moroccan chicken with apricot couscous and green olive sauce in flat bread;rajma masaledar;0.319362
15021;spanish cheeses, celery sticks and olives;freak n good ribs;0.319369
15022;creamy parmesan polenta;cajun prime rib roast;0.319426
15023;beer battered onion rings;thai chicken-coconut soup;0.319428
15024;hanoi turmeric grilled fish with dill and onion;grilled white anchovies with lemon and mint salsa;0.319448
15025;ham, tomato and swiss quiche;turkey shawarma with crunchy vegetables;0.319492
15026;crostini with white beans and basil-marinated shrimp;jollyrogers  chilaquiles;0.319509
15027;hanoi turmeric grilled fish with dill and onion;lemon parsley bruschetta;0.319571
15028;bacon-wilted greens with warm pecan-crusted goat cheese;mushroom turnovers;0.319598
15029;penne with broccoli rabe, tomatoes, and parmesan;16-minute greek feast to go;0.319628
15030;ricotta gnudi with wild mushroom and truffle sauce;white bean and artichoke dip;0.319642
15031;16-minute greek feast to go;gingerbread layer cake with candied kumquats;0.31965
15032;hanoi turmeric grilled fish with dill and onion;warm berry and mango gratin in mascarpone chantilly;0.319652
15033;kielbasa with golden onions and apple;rajma masaledar;0.319658
15034;cajun red beans;harvest foccacia;0.319662
15035;rajma masaledar;pumpkin tacos;0.319671
15036;grilled hawaiian chicken and pineapple sandwiches;korean chicken wings;0.319674
15037;teriyaki chicken wings;korean chicken wings;0.319706
15038;profiterole dough;spicy sausage linguine;0.319716
15039;wife pastry (lo po bang);bacon-wilted greens with warm pecan-crusted goat cheese;0.319719
15040;teeny-weeny coxinha;chicken wings with black-bean sauce;0.319752
15041;oyster orgy salad;beer battered onion rings;0.319791
15042;japanese dressing;beer battered onion rings;0.3198
15043;16-minute greek feast to go;spicy marinated mozzarella with oregano and capers;0.319804
15044;moroccan chicken stew;caramelized flan from pinhao;0.319809
15045;chicken gumbo soup;chicken wings with black-bean sauce;0.319811
15046;purslane, meyer lemon, and pear salad with kaffir lime vinaigrette;beer battered onion rings;0.319831
15047;rice panki;rajma masaledar;0.319867
15048;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;ployes;0.319872
15049;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;quick chicken fajitas;0.319872
15050;ginger-lemongrass portobello mushroom caps;miss dixie s remoulade;0.319884
15051;pan seared halibut with roasted heirloom tomatoes;turkey shawarma with crunchy vegetables;0.319931
15052;bacon-wilted greens with warm pecan-crusted goat cheese;cranberry nut bread i;0.319949
15053;finikia;hatch chile enchilada pie;0.319978
15054;spicy sausage linguine;brie and asparagus in phyllo;0.319987
15055;freak n good ribs;balsamic glazed chicken breast;0.319992
15056;guinness® dogs;laura s maryland crab cakes;0.319993
15057;cajun red beans;tomatillo sauce;0.320001
15058;easiest layer dip;bacon-wilted greens with warm pecan-crusted goat cheese;0.320002
15059;seared halibut with spicy tomato chutney;turkey shawarma with crunchy vegetables;0.32001
15060;finikia;frisée and radish salad with goat cheese croutons;0.32006
15061;rum caramel cake;french onion soup with homemade beef stock;0.320084
15062;croissant french toast with soft caramel apples;easy chicken enchiladas;0.320089
15063;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;southwest cheese grits;0.320091
15064;bacon-wilted greens with warm pecan-crusted goat cheese;dunbar macaroni with beef;0.32011
15065;duck legs confit cooked in a pouch (“confit” de canard en sous vide);marbleized brownies;0.320121
15066;chicken wings with black-bean sauce;gobi pakora;0.320146
15067;duck legs confit cooked in a pouch (“confit” de canard en sous vide);sue s killer martini;0.320162
15068;almond puff pancakes;shrimp cognac and baked cheese grits;0.3202
15069;finikia;pumpkin tacos;0.320226
15070;rum caramel cake;baby tomato and fresh herb tabbouleh;0.320226
15071;chicken à la king;rum caramel cake;0.320232
15072;methi paneer;freak n good ribs;0.320241
15073;bacon-wilted greens with warm pecan-crusted goat cheese;chicken adobo ii;0.320252
15074;taco bake casserole;rajma masaledar;0.320268
15075;spicy sausage linguine;easy tacos;0.320281
15076;ham hocks with navy beans;stilton walnut tarts;0.320305
15077;"""in the army now"" lasagna";bacon-wilted greens with warm pecan-crusted goat cheese;0.320308
15078;caramelized flan from pinhao;laura s maryland crab cakes;0.320334
15079;turkey shawarma with crunchy vegetables;mini cucumber sushi rolls;0.32036
15080;greek-style lemon roasted potatoes;bacon-wilted greens with warm pecan-crusted goat cheese;0.320392
15081;turkey shawarma with crunchy vegetables;peyru nu shaak;0.320393
15082;creamy carolina potato salad;beer battered onion rings;0.320438
15083;hanoi turmeric grilled fish with dill and onion;parker s fish and chips;0.320464
15084;lilva rice;passover chocolate walnut cookies;0.320496
15085;16-minute greek feast to go;charlie trotter s roasted garlic;0.320567
15086;hanoi turmeric grilled fish with dill and onion;perfect baked poutine;0.320569
15087;rum caramel cake;chopped vegetable salad with feta and olives;0.320585
15088;hanoi turmeric grilled fish with dill and onion;tofu and peanut stir-fry;0.320587
15089;campechana extra (mexican seafood cocktail);classic tiramisu with chocolate;0.320596
15090;turkey shawarma with crunchy vegetables;crab, mango, and mint nori rolls;0.320614
15091;freak n good ribs;chilled cream of zucchini soup with mussels and fresh mint;0.320634
15092;roasted eggplant spread;sue s killer martini;0.320653
15093;couscous with vegetables;rajma masaledar;0.320678
15094;pacific cider;geoduck papaya ceviche;0.320688
15095;spicy sausage linguine;provencal tomato potato gratin;0.320696
15096;hare mutter ki curry mein aloo;rajma masaledar;0.32071
15097;finikia;sauteed corn and green peppers;0.320719
15098;freak n good ribs;authentic puerto rican sofrito;0.320735
15099;creamy parmesan polenta;duck legs confit cooked in a pouch (“confit” de canard en sous vide);0.320759
15100;easiest layer dip;bouillabaise;0.320765
15101;thanksgiving turkey with italian meat stuffing;moong soup;0.320813
15102;16-minute greek feast to go;wormy ice cubes - for witch s brew;0.320818
15103;turkey shawarma with crunchy vegetables;homemade bagel chips with creamy garlic and vegetable spread;0.320841
15104;finikia;lamb tagine with prunes, apricots, and vegetables;0.320879
15105;chinese spareribs with teriyaki glaze;rum caramel cake;0.320906
15106;hanoi turmeric grilled fish with dill and onion;how to make country gravy;0.320919
15107;almond puff pancakes;ginger-lemongrass portobello mushroom caps;0.320923
15108;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;ricotta gnudi with wild mushroom and truffle sauce;0.320926
15109;rajma masaledar;lacy chocolate oatmeal cookie sandwiches;0.320944
15110;chana ghassi;spinach-artichoke ravioli-lasagna;0.321008
15111;16-minute greek feast to go;lomo saltado;0.321028
15112;stilton walnut tarts;spinach appam;0.321046
15113;hanoi turmeric grilled fish with dill and onion;orechiette with sausage, beans, and mascarpone;0.32105
15114;lagman soup;beer battered onion rings;0.321051
15115;cashew curry;turkey shawarma with crunchy vegetables;0.321062
15116;freak n good ribs;cranberry nut bread i;0.321124
15117;spicy sausage linguine;spicy drunken shrimp;0.321145
15118;freak n good ribs;toad in the hole iii;0.321153
15119;classic tiramisu with chocolate;cheesy italian pull apart bread;0.321204
15120;spicy sausage linguine;italian cookies i;0.321207
15121;thanksgiving turkey with italian meat stuffing;champagne sabayon on top of milk chocolate sauce and fresh berries;0.321215
15122;spicy sausage linguine;pork chops scarpariello;0.321253
15123;stir fried chicken;bacon-wilted greens with warm pecan-crusted goat cheese;0.321255
15124;chocolate bread pudding with walnuts and chocolate chips;moong soup;0.321256
15125;hanoi turmeric grilled fish with dill and onion;gooey butter cake iii;0.321273
15126;hanoi turmeric grilled fish with dill and onion;fish;0.321306
15127;spicy sausage linguine;tofu and peanut stir-fry;0.321307
15128;bone-in cowboy rib-eye with pinto-wild mushroom ragout and red chile onion rings;16-minute greek feast to go;0.321358
15129;16-minute greek feast to go;green goddess dressing over iceberg wedges;0.32138
15130;round 2 recipe - web - cinnamon roll french toast;sue s killer martini;0.321384
15131;teeny-weeny coxinha;creamy parmesan polenta;0.321386
15132;nana s yorkshire pudding;chicken wings with black-bean sauce;0.321391
15133;spicy sausage linguine;lomo saltado;0.321393
15134;16-minute greek feast to go;luscious lassi;0.321413
15135;moroccan chicken stew;round 2 recipe - web - cinnamon roll french toast;0.321421
15136;almond puff pancakes;mutter dhingri;0.321422
15137;pacific cider;chocolate filled crepes covered with strawberry sauce;0.321447
15138;turkey shawarma with crunchy vegetables;bananas foster ii;0.321527
15139;basic bechamel sauce;rajma masaledar;0.321573
15140;sue s killer martini;cheesy italian pull apart bread;0.321588
15141;dark brown bbq ribs;moroccan chicken stew;0.321592
15142;spinach-artichoke ravioli-lasagna;cheesy italian pull apart bread;0.321607
15143;quick pickles;turkey shawarma with crunchy vegetables;0.321652
15144;rajma masaledar;cottage cheese blintzes;0.321661
15145;ricotta gnudi with wild mushroom and truffle sauce;gobi pakora;0.321683
15146;zucchini blossom and fontina panini;16-minute greek feast to go;0.321726
15147;crostini with white beans and basil-marinated shrimp;grilled mangoes with herbs;0.321789
15148;chinese spareribs with teriyaki glaze;roasted pumpkin soup;0.32179
15149;bacon-wilted greens with warm pecan-crusted goat cheese;meatballs with angel hair pasta;0.321806
15150;finikia;carrot and pineapple cake;0.321815
15151;16-minute greek feast to go;kathy faulding s famous brownies;0.321835
15152;candied root vegetables;grilled chicken tacos;0.321845
15153;chocolate chip pie iv;16-minute greek feast to go;0.321855
15154;spinach ranch salad;finikia;0.321883
15155;dark brown bbq ribs;southwest cheese grits;0.321885
15156;spicy sausage linguine;inwood hamburgers;0.321948
15157;creamy parmesan polenta;jollyrogers  chilaquiles;0.321954
15158;freak n good ribs;loaded baked potato pizza;0.321955
15159;crispy chicken under a brick;bouillabaise;0.321957
15160;fish mousseline with sauce nantua;beer battered onion rings;0.321974
15161;helva;bacon-wilted greens with warm pecan-crusted goat cheese;0.321986
15162;finikia;spinach stuffed braciole in a sunday sauce with pappardelle;0.322003
15163;finikia;vanilla panna cotta with pear jam;0.322012
15164;turkey shawarma with crunchy vegetables;peppery salad;0.322028
15165;ahi poke and seaweed salad;beer battered onion rings;0.322052
15166;finikia;peyru nu shaak;0.322077
15167;swedish saffron buns;turkey shawarma with crunchy vegetables;0.32214
15168;16-minute greek feast to go;anise walnut biscotti;0.322145
15169;sarah s slow cooker chicken cacciatore;cheesy italian bread wedges;0.322149
15170;fried rice;turkey shawarma with crunchy vegetables;0.322158
15171;pan-roasted beef filet in coffee and molasses shellac;chicken wings with black-bean sauce;0.322167
15172;finikia;crab, mango, and mint nori rolls;0.322181
15173;broiled steak with horseradish cream;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;0.322203
15174;campechana extra (mexican seafood cocktail);marbleized brownies;0.322208
15175;chicken with a creamy marsala sauce;chicken wings with black-bean sauce;0.322254
15176;deep in the heart of texas backyard barbeque chicken;turkey shawarma with crunchy vegetables;0.32226
15177;candied root vegetables;grilled santa barbara prawns with blood orange glaze;0.322262
15178;lemon-roasted green beans with marcona almonds;turkey shawarma with crunchy vegetables;0.322274
15179;rajma masaledar;baked ziti with mushrooms, peppers, and parmesan;0.322285
15180;freak n good ribs;chocolate raspberry icebox cake;0.322308
15181;individual vegetable lasagnas;turkey shawarma with crunchy vegetables;0.322314
15182;finikia;kent s bbq cornbread;0.322326
15183;bacon-wilted greens with warm pecan-crusted goat cheese;italian vegetable lentil soup;0.322342
15184;braised meat with butternut squash;saltado de vainitas (peruvian green beans with chicken);0.322342
15185;spicy sausage linguine;wild rice stuffing with hazelnuts and dried cranberries;0.322347
15186;hanoi turmeric grilled fish with dill and onion;escabeche;0.322359
15187;gooey butter cake iii;16-minute greek feast to go;0.322373
15188;chinese spareribs with teriyaki glaze;bouillabaise;0.322378
15189;turkey shawarma with crunchy vegetables;orecchiette with mixed greens and goat cheese;0.322378
15190;the peacemaker: golden fried oyster and shrimp po-boy with hot sauce-infused mayonnaise, lettuce, and tomato;bouillabaise;0.32238
15191;hot reuben dip in a pumpernickel bread bowl;rajma masaledar;0.322386
15192;cajun prime rib roast;marbleized brownies;0.322393
15193;freak n good ribs;butter garlic naan;0.322404
15194;spicy sausage linguine;thai-style pineapple snack;0.322417
15195;spicy sausage linguine;bavarian style meatballs;0.322426
15196;onion, tomato, and bell pepper citrus salsa;miss dixie s remoulade;0.322434
15197;spicy sausage linguine;luscious lassi;0.322451
15198;finikia;beef and noodles in thai peanut sauce;0.322463
15199;pork belly with lentils;stilton walnut tarts;0.322466
15200;rajma masaledar;upside down;0.322481
15201;rajma masaledar;bresaola-wrapped persimmons with arugula;0.322517
15202;moroccan chicken stew;strawberry mint seduction;0.322539
15203;grilled tri-tip with oregon herb rub;bacon-wilted greens with warm pecan-crusted goat cheese;0.322558
15204;spinach appam;easy chicken enchiladas;0.322561
15205;grilled mangoes with herbs;ployes;0.322567
15206;potato latkes i;beer battered onion rings;0.322573
15207;escabeche;freak n good ribs;0.322597
15208;chicken fricassée with carrots, mustard greens and avgolemono sauce;rajma masaledar;0.322623
15209;nana s yorkshire pudding;creamy parmesan polenta;0.322633
15210;pacific cider;smashed peas and ricotta cheese;0.322644
15211;reuben sandwich;miss dixie s remoulade;0.322688
15212;grilled mangoes with herbs;cajun red beans;0.322689
15213;nana s yorkshire pudding;moroccan chicken stew;0.322705
15214;hearty vegetable and macaroni soup;turkey shawarma with crunchy vegetables;0.322726
15215;spicy sausage linguine;balsamic strawberries with ricotta cream;0.322738
15216;finikia;pinto bean, sausage, and fennel gratin;0.322761
15217;fragola pazzo (crazy strawberry);bacon-wilted greens with warm pecan-crusted goat cheese;0.322788
15218;spicy sausage linguine;baked pears with sauternes custard sauce;0.322789
15219;fresh baked boules;rajma masaledar;0.322812
15220;hanoi turmeric grilled fish with dill and onion;danish peppernut christmas cookies (pebernodder);0.322826
15221;spicy sausage linguine;baked chicken schnitzel;0.322829
15222;spicy sausage linguine;lemon parsley bruschetta;0.322836
15223;roast beef tenderloin with wasabi-garlic cream;rajma masaledar;0.322852
15224;freak n good ribs;wild mushroom and gruyère tart with fresh herb salad;0.322867
15225;moong soup;marbleized brownies;0.322879
15226;spicy sausage linguine;maple-pepper salmon bites;0.322908
15227;danish pastry braid;ricotta gnudi with wild mushroom and truffle sauce;0.32295
15228;chicken wings with black-bean sauce;colorado lamb and couscous crostini;0.323001
15229;16-minute greek feast to go;tomato zucchini soup;0.323012
15230;red-bean soup with gremolata;bacon-wilted greens with warm pecan-crusted goat cheese;0.323023
15231;homemade tortelli stuffed with stewed oxtail;passover chocolate walnut cookies;0.323057
15232;beer battered onion rings;goat cheese and arugula over penne;0.323093
15233;freak n good ribs;chicken meatball dim sum;0.323145
15234;rum caramel cake;chocolate-whiskey truffles souffles with caramel sauce;0.323174
15235;finikia;california chicken;0.323175
15236;finikia;eggplant parmesan hero;0.323189
15237;round 2 recipe - web - cinnamon roll french toast;steamed snapper with ginger, lime, and cilantro;0.323223
15238;rum caramel cake;roasted eggplant spread;0.323254
15239;freak n good ribs;lamb stew with green beans;0.323257
15240;16-minute greek feast to go;wild rice stuffing with hazelnuts and dried cranberries;0.323297
15241;freak n good ribs;ragu alla mugellana;0.323343
15242;southwest cheese grits;loaded omelets;0.323364
15243;pan-roasted beef filet in coffee and molasses shellac;rum caramel cake;0.323376
15244;lilva rice;laura s maryland crab cakes;0.323401
15245;turkey shawarma with crunchy vegetables;chicken mole;0.323425
15246;southwest cheese grits;spinach appam;0.323426
15247;easy tacos;16-minute greek feast to go;0.323491
15248;hanoi turmeric grilled fish with dill and onion;raspberry linzer cookies;0.323505
15249;tiny potato gnocchi with smoked salmon, scamorza, tomatoes, and basil;rajma masaledar;0.323548
15250;spinach-artichoke ravioli-lasagna;cajun prime rib roast;0.32357
15251;grilled skirt steak with homemade asian barbeque marinade;bacon-wilted greens with warm pecan-crusted goat cheese;0.323586
15252;kathy faulding s famous brownies;beer battered onion rings;0.323612
15253;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;smashed peas and ricotta cheese;0.323642
15254;roasted pumpkin soup;chocolate-whiskey truffles souffles with caramel sauce;0.323701
15255;balsamic strawberries with ricotta cream;16-minute greek feast to go;0.323709
15256;chocolate raspberry icebox cake;bacon-wilted greens with warm pecan-crusted goat cheese;0.323729
15257;creamy potato salad;freak n good ribs;0.323762
15258;makai patal bhaji;laura s maryland crab cakes;0.32377
15259;papaya poached in cinnamon-lime syrup;amazing sun-dried tomato cream sauce;0.323803
15260;jollyrogers  chilaquiles;southwest cheese grits;0.323804
15261;hula girl cocktail;bouillabaise;0.323805
15262;chana ghassi;easy chicken enchiladas;0.323813
15263;seared ahi with brown rice and pineapple-ginger broth;beer battered onion rings;0.323829
15264;reuben sandwich;cheesy italian bread wedges;0.323849
15265;spicy sausage linguine;healthy turkey tex mex chili;0.32389
15266;finikia;spinach almond pesto;0.323917
15267;pinto bean, sausage, and fennel gratin;rajma masaledar;0.323939
15268;spicy mexican shrimp cocktail;16-minute greek feast to go;0.323966
15269;16-minute greek feast to go;butter;0.324015
15270;bacon-wilted greens with warm pecan-crusted goat cheese;foolproof potato latkes;0.324022
15271;grilled new potato salad with peppers and onions;beer battered onion rings;0.324037
15272;chicken à la king;roasted pumpkin soup;0.324062
15273;duck legs confit cooked in a pouch (“confit” de canard en sous vide);ployes;0.324065
15274;freak n good ribs;stir fried chicken;0.324067
15275;campechana extra (mexican seafood cocktail);chocolate filled crepes covered with strawberry sauce;0.324104
15276;spicy mexican torte;noodle pancakes with caraway;0.324118
15277;ham hocks with navy beans;moroccan chicken stew;0.32417
15278;teriyaki chicken wings;moong soup;0.32421
15279;finikia;fried pickles;0.324213
